method,period,age_sq,age,ln_exp,constant,r2_polynomial,n_obs,n_households,r2,age_sq_se,age_se,ln_exp_se,r2_within,model_obj,time_effects,r2_between,age_sq_mean,age_mean,ln_exp_mean,age_sq_mean_se,age_mean_se,ln_exp_mean_se
Blanchett-style,2011-2021,0.00015315943973550912,-0.02246343015606928,-0.05553392229246554,1.3972856990107645,0.3060044023738937,11525,3735,,,,,,,,,,,,,,
Pooled OLS,2011-2021,3.413874364875484e-05,-0.006551739856764629,-0.1361480011652745,1.7184999401709493,,11525,3735,0.1172376310054245,3.0420956056687956e-05,0.0044365641338686744,0.0038573924187525845,,,,,,,,,,
Fixed Effects,2011-2021,-5.103758642125662e-05,-0.00048238710642794873,-0.5485373157123632,,,11525,3735,,6.0771091954411125e-05,0.008841872228709352,0.007068519920303678,0.48866785068521335,"                          PanelOLS Estimation Summary                           
================================================================================
Dep. Variable:       pct_change_total   R-squared:                        0.4887
Estimator:                   PanelOLS   R-squared (Between):             -1695.6
No. Observations:               11525   R-squared (Within):               0.4887
Date:                Tue, Feb 10 2026   R-squared (Overall):             -676.11
Time:                        12:32:42   Log-likelihood                    5664.9
Cov. Estimator:             Clustered                                           
                                        F-statistic:                      2480.6
Entities:                        3735   P-value                           0.0000
Avg Obs:                       3.0857   Distribution:                  F(3,7787)
Min Obs:                       1.0000                                           
Max Obs:                       6.0000   F-statistic (robust):             2038.1
                                        P-value                           0.0000
Time periods:                       6   Distribution:                  F(3,7787)
Avg Obs:                       1920.8                                           
Min Obs:                       1565.0                                           
Max Obs:                       2152.0                                           
                                                                                
                              Parameter Estimates                              
===============================================================================
             Parameter  Std. Err.     T-stat    P-value    Lower CI    Upper CI
-------------------------------------------------------------------------------
age_sq      -5.104e-05  6.077e-05    -0.8398     0.4010     -0.0002   6.809e-05
age_int        -0.0005     0.0088    -0.0546     0.9565     -0.0178      0.0169
ln_spending    -0.5485     0.0071    -77.603     0.0000     -0.5624     -0.5347
===============================================================================

F-test for Poolability: 2.4202
P-value: 0.0000
Distribution: F(3734,7787)

Included effects: Entity",False,,,,,,,
Random Effects,2011-2021,2.8407753982426736e-05,-0.006122322914119051,-0.17695838101702288,,,11525,3735,,3.2407884883387535e-05,0.0047276911242814575,0.004385828333917357,0.2645577588498176,"                        RandomEffects Estimation Summary                        
================================================================================
Dep. Variable:       pct_change_total   R-squared:                        0.1538
Estimator:              RandomEffects   R-squared (Between):             -0.1587
No. Observations:               11525   R-squared (Within):               0.2646
Date:                Tue, Feb 10 2026   R-squared (Overall):              0.1066
Time:                        12:32:42   Log-likelihood                    1725.2
Cov. Estimator:             Clustered                                           
                                        F-statistic:                      697.92
Entities:                        3735   P-value                           0.0000
Avg Obs:                       3.0857   Distribution:                 F(3,11521)
Min Obs:                       1.0000                                           
Max Obs:                       6.0000   F-statistic (robust):             542.79
                                        P-value                           0.0000
Time periods:                       6   Distribution:                 F(3,11521)
Avg Obs:                       1920.8                                           
Min Obs:                       1565.0                                           
Max Obs:                       2152.0                                           
                                                                                
                              Parameter Estimates                              
===============================================================================
             Parameter  Std. Err.     T-stat    P-value    Lower CI    Upper CI
-------------------------------------------------------------------------------
const           2.1399     0.1782     12.012     0.0000      1.7907      2.4891
age_sq       2.841e-05  3.241e-05     0.8766     0.3807  -3.512e-05   9.193e-05
age_int        -0.0061     0.0047    -1.2950     0.1953     -0.0154      0.0031
ln_spending    -0.1770     0.0044    -40.348     0.0000     -0.1856     -0.1684
===============================================================================",,-0.1587498547168824,,,,,,
Fixed Effects (time),2011-2021,,,-0.5497182625267498,,,11525,3735,,,,0.008563390107632013,0.4533979265225162,"                          PanelOLS Estimation Summary                           
================================================================================
Dep. Variable:       pct_change_total   R-squared:                        0.4906
Estimator:                   PanelOLS   R-squared (Between):             -1126.2
No. Observations:               11525   R-squared (Within):               0.4534
Date:                Tue, Feb 10 2026   R-squared (Overall):             -448.38
Time:                        12:32:42   Log-likelihood                    5692.9
Cov. Estimator:             Clustered                                           
                                        F-statistic:                      2498.4
Entities:                        3735   P-value                           0.0000
Avg Obs:                       3.0857   Distribution:                  F(3,7782)
Min Obs:                       1.0000                                           
Max Obs:                       6.0000   F-statistic (robust):             1377.6
                                        P-value                           0.0000
Time periods:                       6   Distribution:                  F(3,7782)
Avg Obs:                       1920.8                                           
Min Obs:                       1565.0                                           
Max Obs:                       2152.0                                           
                                                                                
                              Parameter Estimates                              
===============================================================================
             Parameter  Std. Err.     T-stat    P-value    Lower CI    Upper CI
-------------------------------------------------------------------------------
age_sq      -5.652e-05  7.401e-05    -0.7637     0.4451     -0.0002   8.856e-05
age_int         0.0157     0.0114     1.3771     0.1685     -0.0066      0.0379
ln_spending    -0.5497     0.0086    -64.194     0.0000     -0.5665     -0.5329
===============================================================================

F-test for Poolability: 2.4373
P-value: 0.0000
Distribution: F(3739,7782)

Included effects: Entity, Time",True,,,,,,,
Blanchett-style,2001-2021,0.0001507549366642028,-0.022421765835499208,-0.060203486115849636,1.459159577499204,0.3482737071179246,20189,4900,,,,,,,,,,,,,,
Pooled OLS,2001-2021,5.919475389303e-05,-0.01112276360283737,-0.1527052534808488,2.0910255430083997,,20189,4900,0.1363732558734384,2.4199709363720423e-05,0.003525477351599807,0.003379559612777115,,,,,,,,,,
Fixed Effects,2001-2021,1.0905167918632671e-05,-0.012971066149093026,-0.4995473169872922,,,20189,4900,,3.8570487212272566e-05,0.005606155178708738,0.005437195294941511,0.46379450544412437,"                          PanelOLS Estimation Summary                           
================================================================================
Dep. Variable:       pct_change_total   R-squared:                        0.4638
Estimator:                   PanelOLS   R-squared (Between):             -1612.1
No. Observations:               20189   R-squared (Within):               0.4638
Date:                Tue, Feb 10 2026   R-squared (Overall):             -631.52
Time:                        12:32:42   Log-likelihood                    7929.5
Cov. Estimator:             Clustered                                           
                                        F-statistic:                      4407.2
Entities:                        4900   P-value                           0.0000
Avg Obs:                       4.1202   Distribution:                 F(3,15286)
Min Obs:                       1.0000                                           
Max Obs:                      10.0000   F-statistic (robust):             2857.2
                                        P-value                           0.0000
Time periods:                      10   Distribution:                 F(3,15286)
Avg Obs:                       2018.9                                           
Min Obs:                       1565.0                                           
Max Obs:                       2196.0                                           
                                                                                
                              Parameter Estimates                              
===============================================================================
             Parameter  Std. Err.     T-stat    P-value    Lower CI    Upper CI
-------------------------------------------------------------------------------
age_sq       1.091e-05  3.857e-05     0.2827     0.7774   -6.47e-05   8.651e-05
age_int        -0.0130     0.0056    -2.3137     0.0207     -0.0240     -0.0020
ln_spending    -0.4995     0.0054    -91.876     0.0000     -0.5102     -0.4889
===============================================================================

F-test for Poolability: 2.8168
P-value: 0.0000
Distribution: F(4899,15286)

Included effects: Entity",False,,,,,,,
Random Effects,2001-2021,5.9719650483088524e-05,-0.01244451241561427,-0.2256945095986186,,,20189,4900,,2.56673211537289e-05,0.0037417638938798212,0.0038838682710384594,0.32370742079405346,"                        RandomEffects Estimation Summary                        
================================================================================
Dep. Variable:       pct_change_total   R-squared:                        0.2047
Estimator:              RandomEffects   R-squared (Between):             -0.3055
No. Observations:               20189   R-squared (Within):               0.3237
Date:                Tue, Feb 10 2026   R-squared (Overall):              0.1049
Time:                        12:32:42   Log-likelihood                    2745.8
Cov. Estimator:             Clustered                                           
                                        F-statistic:                      1732.0
Entities:                        4900   P-value                           0.0000
Avg Obs:                       4.1202   Distribution:                 F(3,20185)
Min Obs:                       1.0000                                           
Max Obs:                      10.0000   F-statistic (robust):             1129.1
                                        P-value                           0.0000
Time periods:                      10   Distribution:                 F(3,20185)
Avg Obs:                       2018.9                                           
Min Obs:                       1565.0                                           
Max Obs:                       2196.0                                           
                                                                                
                              Parameter Estimates                              
===============================================================================
             Parameter  Std. Err.     T-stat    P-value    Lower CI    Upper CI
-------------------------------------------------------------------------------
const           2.9395     0.1419     20.710     0.0000      2.6613      3.2177
age_sq       5.972e-05  2.567e-05     2.3267     0.0200    9.41e-06      0.0001
age_int        -0.0124     0.0037    -3.3258     0.0009     -0.0198     -0.0051
ln_spending    -0.2257     0.0039    -58.111     0.0000     -0.2333     -0.2181
===============================================================================",,-0.3054541335355614,,,,,,
Fixed Effects (time),2001-2021,,,-0.5036038992207346,,,20189,4900,,,,0.006166989400059274,0.3126989098243578,"                          PanelOLS Estimation Summary                           
================================================================================
Dep. Variable:       pct_change_total   R-squared:                        0.4703
Estimator:                   PanelOLS   R-squared (Between):             -897.17
No. Observations:               20189   R-squared (Within):               0.3127
Date:                Tue, Feb 10 2026   R-squared (Overall):             -349.89
Time:                        12:32:42   Log-likelihood                    8110.1
Cov. Estimator:             Clustered                                           
                                        F-statistic:                      4522.1
Entities:                        4900   P-value                           0.0000
Avg Obs:                       4.1202   Distribution:                 F(3,15277)
Min Obs:                       1.0000                                           
Max Obs:                      10.0000   F-statistic (robust):             2232.8
                                        P-value                           0.0000
Time periods:                      10   Distribution:                 F(3,15277)
Avg Obs:                       2018.9                                           
Min Obs:                       1565.0                                           
Max Obs:                       2196.0                                           
                                                                                
                              Parameter Estimates                              
===============================================================================
             Parameter  Std. Err.     T-stat    P-value    Lower CI    Upper CI
-------------------------------------------------------------------------------
age_sq       1.062e-05    4.4e-05     0.2412     0.8094  -7.564e-05   9.687e-05
age_int         0.0094     0.0069     1.3757     0.1689     -0.0040      0.0229
ln_spending    -0.5036     0.0062    -81.661     0.0000     -0.5157     -0.4915
===============================================================================

F-test for Poolability: 2.9168
P-value: 0.0000
Distribution: F(4908,15277)

Included effects: Entity, Time",True,,,,,,,
Correlated RE (Mundlak),2001-2021,1.0905167918636949e-05,-0.012971066149093645,-0.49954731698729177,,,20189,4900,,3.857430929120752e-05,0.005606710711425728,0.005437734084550891,0.46379450544412437,"                        RandomEffects Estimation Summary                        
================================================================================
Dep. Variable:       pct_change_total   R-squared:                        0.4148
Estimator:              RandomEffects   R-squared (Between):              0.0415
No. Observations:               20189   R-squared (Within):               0.4638
Date:                Tue, Feb 10 2026   R-squared (Overall):              0.3950
Time:                        12:32:42   Log-likelihood                    5842.2
Cov. Estimator:             Clustered                                           
                                        F-statistic:                      2384.0
Entities:                        4900   P-value                           0.0000
Avg Obs:                       4.1202   Distribution:                 F(6,20182)
Min Obs:                       1.0000                                           
Max Obs:                      10.0000   F-statistic (robust):             1503.5
                                        P-value                           0.0000
Time periods:                      10   Distribution:                 F(6,20182)
Avg Obs:                       2018.9                                           
Min Obs:                       1565.0                                           
Max Obs:                       2196.0                                           
                                                                                
                                Parameter Estimates                                 
====================================================================================
                  Parameter  Std. Err.     T-stat    P-value    Lower CI    Upper CI
------------------------------------------------------------------------------------
const                0.8997     0.1986     4.5297     0.0000      0.5104      1.2890
age_sq            1.091e-05  3.857e-05     0.2827     0.7774   -6.47e-05   8.651e-05
age_int             -0.0130     0.0056    -2.3135     0.0207     -0.0240     -0.0020
ln_spending         -0.4995     0.0054    -91.867     0.0000     -0.5102     -0.4889
age_sq_mean       8.112e-05  5.318e-05     1.5253     0.1272  -2.312e-05      0.0002
age_int_mean        -0.0011     0.0078    -0.1451     0.8846     -0.0164      0.0141
ln_spending_mean     0.4650     0.0063     73.707     0.0000      0.4527      0.4774
====================================================================================",,0.041482644372458966,8.111813976681855e-05,-0.001127307107402258,0.46503039142383656,5.3182171623803216e-05,0.007766850126554206,0.006309205070835124
